stock,OP,CP,vol,name,total,last,align_y,align_t,slope,5 score,10 score,20 score,30 score,60 score,5 win rate,10 win rate,20 win rate,30 win rate,60 win rate,5 HP,10 HP,20 HP,30 HP,60 HP,5 LP,10 LP,20 LP,30 LP,60 LP,avr5_td
2330,583.0,590.0,23462,Empty
2317,111.0,113.0,24022,Body+,273,badce,20>60>5,20>60>5,slp<0,-0.2512468498846805,-0.7034519392702171,-0.9755946634661079,-0.9720920876737612,0.7500043099898305,0.4358974358974359,0.43223443223443225,0.4249084249084249,0.43223443223443225,0.45054945054945056,1.2475404161635912,0.6940588943548612,0.5005997295765116,0.41221968772109285,2.3080691848226658,-1.2974967826431925,-1.8251320188052311,-2.0502577453468365,-2.0826204005172095,-0.45956355032677393,111.20000000000002
2454,924.0,934.0,3936,Body2+,21,abedc,60>20>5,60>20>5,slp<0,-0.6582562480351363,-3.7584743431186856,-3.4861725146038274,0.5963247499929081,4.651848003645556,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.23809523809523808,0.47619047619047616,0.739029870189949,-2.2467191886818356,-2.4139972926104596,1.8922468803386654,6.067333472996485,-1.4634039124429326,-4.633080739113167,-4.381580149601782,-0.4540943377661177,3.214276185331422,921.0
2603,133.0,141.5,653120,Body+,30,abdce,20>5>60,20>60>5,slp<0,-0.21385213201657555,-1.128989010181985,-1.115024342852405,-0.16632591344988007,5.631462129368676,0.5,0.5,0.5333333333333333,0.5666666666666667,0.4666666666666667,0.9266587518372105,0.017953081841084285,0.15592218314689052,1.3725188310476824,7.182436723725723,-1.2494422578709108,-2.2944441851416353,-2.176232740863801,-1.371580943155903,4.422536124632798,135.2
6505,97.8,99.7,3547,Empty
2412,115.5,116.5,10768,Body+,838,cabde,5>20>60,5>20>60,slp>0,0.8609490019725756,1.0131641735248424,1.1837914473243558,1.0625218846158313,2.977947284755219,0.4892601431980907,0.4892601431980907,0.4797136038186158,0.4439140811455847,0.4797136038186158,2.788019194710905,2.8794714194968045,3.0076633987706383,2.804787257620866,4.705972192497043,-0.6310251634346734,-0.38870430618518237,-0.1734240037629774,-0.2767625133705631,1.6413114132328113,115.89999999999999
2881,75.0,76.5,21213,None+,673,bcaed,20>5>60,20>5>60,slp<0,-0.07907013786710076,0.08978754656399177,0.7887712116521348,0.5926856651134138,1.3263137038234523,0.49925705794947994,0.4739970282317979,0.5066864784546805,0.48439821693907875,0.4769687964338782,1.3813322833362558,1.4858239289621076,2.332849051873042,2.1123330506120785,2.7912713377729697,-1.225206026891854,-1.1077558677310961,-0.35838492296314994,-0.5745846144409026,0.2047501601438662,75.86
2308,287.5,287.0,5603,None-,1094,badec,20>60>5,20>60>5,slp<0,-0.37339804440430896,-0.8415916673028342,-0.8062684317559258,-0.6255414249256575,2.2912441288315604,0.4926873857404022,0.47714808043875684,0.4789762340036563,0.49085923217550276,0.5164533820840951,1.0258033693076294,0.4534723169610247,0.439990595858012,0.6643428521784358,3.6603916641019723,-1.403955473978615,-1.9054238432968804,-1.8674471439369906,-1.591030075888662,1.1744263499699463,289.9
2882,54.5,55.8,32279,Body+,76,bcade,20>60>5,20>60>5,slp<0,-0.8556013182046255,-0.9505038589503764,-1.231849522986267,-0.38045043952247076,4.373830005502126,0.47368421052631576,0.5131578947368421,0.4868421052631579,0.42105263157894735,0.47368421052631576,0.5853033171980435,0.4943638037498284,0.26251010704877914,0.8556933398588789,6.501206464211386,-1.8926523035408498,-2.105998865928152,-2.115712441925016,-1.6453776843985222,3.1822590647885973,54.739999999999995
1303,88.3,88.8,8577,None+,1984,bcade,20>5>60,20>5>60,slp<0,-0.5037390510572347,-0.7381401465524228,-0.10235349337026499,0.2977227601482552,2.3318360421099897,0.4561491935483871,0.45514112903225806,0.46975806451612906,0.4621975806451613,0.46774193548387094,1.0966020219469592,0.8152756254484049,1.4255475935272108,1.814794932565837,3.9575757472232183,-1.6961035504068567,-1.947481922798035,-1.3335687875356825,-0.8919244202248526,1.0667811739828736,86.68
